Gene_symbol,Chrom,CDS_Begin,CDS_End,MGI_lethal,IMPC,EG,NLG,RVIS_ExAc_score,RVIS_ExAc_perc,pLI_score,pLI_perc,HGMD_tag,OMIM_disorder
AAR2,20,36236459,36270918,N,.,N,N,0.430976902,77.46136482,0.000262136,69,.,.
AARD,8,116938199,116944487,N,Viable,N,Y,-0.246513473,32.65613243,0.328326488,34.9,.,.
AARS,16,70252295,70289543,N,.,Y,N,-1.423179283,3.785379406,4.68E-05,74.1,DM,"Charcot-Marie-Tooth disease, axonal, type 2N, 613287 (3); Epileptic encephalopathy, early infantile, 29, 616339 (3)"
AARS2,6,44299654,44313326,N,.,N,N,0.358321058,73.84383863,1.65E-07,85.5,DM,"Combined oxidative phosphorylation deficiency 8, 614096 (3); Leukoencephalopathy, progressive, with ovarian failure, 615889 (3)"
AARSD1,17,42950526,42964498,N,.,N,N,0.41788394,76.71470741,2.44E-07,84.9,.,.
AASDH,4,56338287,56387508,N,.,N,N,0.114392193,58.32031024,2.01E-05,76.2,.,.
AASDHPPT,11,106075501,106098710,N,.,N,N,-0.119765437,40.78833131,0.083941734,44.2,.,.
AASS,7,122075647,122144280,N,.,N,N,-0.641812633,15.62771314,1.36E-06,82.1,DM,"Hyperlysinemia, 238700 (3); Saccharopinuria, 268700 (1)"
AATF,17,36948875,37056871,Y,.,Y,N,-0.079227978,43.69392834,1.62E-07,85.5,.,.
AATK,17,81117295,81166077,N,.,N,Y,.,.,0.806763652,21.4,.,.
ABAT,16,8674565,8784575,N,.,N,N,-0.495721965,20.38548359,0.374368506,33.5,DM,"GABA-transaminase deficiency, 613163 (3)"
ABCA1,9,104781002,104928237,Y,Lethal,Y,N,-1.671315318,2.558314522,0.001658803,62.6,DM,"Tangier disease, 205400 (3); HDL deficiency, type 2, 604091 (3); {Coronary artery disease in familial hypercholesterolemia, protection against}, 143890 (3)"
ABCA10,17,69147214,69244846,N,.,N,N,1.258481158,95.4969034,1.21E-27,99.5,DM?,.
ABCA12,2,214931542,215138428,Y,.,Y,N,-1.128777949,6.297389593,2.02E-07,85.1,DM,"Ichthyosis, congenital, autosomal recessive 4A, 601277 (3); Ichthyosis, autosomal recessive 4B (harlequin), 242500 (3)"
ABCA13,7,48171458,48647496,N,Viable,N,Y,4.767707742,99.83214678,3.31E-78,100,DM,.
ABCA2,9,137007227,137028922,N,.,N,Y,-1.697556794,2.45991781,0.999999516,1.5,DM?,.
ABCA3,16,2275881,2340746,Y,.,Y,N,-0.990061823,8.016438039,7.48E-08,86.5,DM,"Surfactant metabolism dysfunction, pulmonary, 3, 610921 (3)"
ABCA4,1,93992835,94121132,N,.,N,Y,2.090336531,98.7150547,1.27E-28,99.6,DM,"Stargardt disease 1, 248200 (3); Retinitis pigmentosa 19, 601718 (3); Cone-rod dystrophy 3, 604116 (3); {Macular degeneration, age-related, 2}, 153800 (3); Fundus flavimaculatus, 248200 (3); Retinal dystrophy, early-onset severe, 248200 (3)"
ABCA5,17,69244311,69327244,N,.,N,Y,0.345549227,73.16084968,2.53E-15,97,.,.
ABCA6,17,69078702,69141888,N,Viable,N,Y,0.810941833,89.35579094,1.83E-16,97.6,.,.
ABCA7,19,1040101,1065572,N,.,N,Y,2.403998151,99.09706546,1.89E-36,99.9,DP,.
ABCA8,17,68867292,68955392,N,Viable,N,Y,1.839438819,98.28095155,1.72E-33,99.8,FTV,.
ABCA9,17,68974488,69061064,N,.,N,N,-0.586004565,17.19048446,1.28E-26,99.5,.,.
ABCB1,7,87503633,87713323,N,.,N,Y,-0.161310924,37.88852231,0.734473812,23.6,DM,"{Colchicine resistance}, 120080 (3); {Inflammatory bowel disease 13}, 612244 (3)"
ABCB10,1,229516582,229558695,Y,.,Y,N,-0.140208598,39.40498929,7.95E-06,78.6,.,.
ABCB11,2,168922938,169031322,N,Subviable,Y,N,-0.728847204,13.1909475,2.19E-10,92.4,DM,"Cholestasis, progressive familial intrahepatic 2, 601847 (3); Cholestasis, benign recurrent intrahepatic, 2, 605479 (3)"
ABCB4,7,87401697,87480435,N,.,N,Y,-1.101313572,6.546275395,0.000203043,69.8,DM,"Cholestasis, progressive familial intrahepatic 3, 602347 (3); Cholestasis, intrahepatic, of pregnancy, 3, 614972 (3); Gallbladder disease 1, 600803 (3)"
ABCB5,7,20615207,20777038,N,.,N,N,2.92716117,99.47328819,1.17E-23,99.2,DM?,.
ABCB6,2,219209768,219218990,Y,.,Y,N,0.181920023,63.33275453,2.11E-17,98,DM,"Microphthalmia, isolated, with coloboma 7, 614497 (3); [Blood group, Langereis system], 111600 (3); Dyschromatosis universalis hereditaria 3, 615402 (3)"
ABCB7,X,75053172,75156732,Y,.,Y,N,0.533151945,81.77345604,0.995047823,8.4,DM,"Anemia, sideroblastic, with ataxia, 301310 (3)"
ABCB8,7,151028422,151047782,N,.,N,N,0.104018084,57.50419633,4.60E-06,79.7,.,.
ABCB9,12,122920951,122981649,N,Viable,N,Y,-1.100632192,6.569427563,0.002901108,60.5,.,.
ABCC1,16,15949577,16143074,N,.,N,Y,-1.459410983,3.577009898,0.01943576,51.8,FP,.
ABCC10,6,43427366,43450430,N,.,N,Y,-0.432925267,23.05955895,8.31E-21,98.8,.,.
ABCC11,16,48166910,48247568,N,.,N,N,1.80652302,98.20570701,5.70E-25,99.3,DFP,"[Earwax, wet/dry], 117800 (3); [Axillary odor, variation in], 117800 (3); [Colostrum secretion, variation in], 117800 (3)"
ABCC12,16,48082973,48156018,N,.,N,N,1.287536057,95.70527291,2.21E-26,99.4,DM?,.
ABCC2,10,99782732,99852192,N,Viable,N,Y,0.869231732,90.56549169,3.36E-29,99.6,DM,"Dubin-Johnson syndrome, 237500 (3)"
ABCC3,17,50634777,50692252,N,.,N,Y,-0.313815814,28.62765526,2.62E-14,96.5,DFP,.
ABCC4,13,95019829,95301446,N,.,N,Y,-0.443570983,22.5270591,0.001314683,63.7,FP,.
ABCC5,3,183919934,184018015,N,.,N,N,-3.147194401,0.538287897,0.896205135,17.9,.,.
ABCC6,16,16148928,16223522,N,.,N,Y,0.012674769,50.45436129,1.45E-06,82,DM,"Pseudoxanthoma elasticum, 264800 (3); Pseudoxanthoma elasticum, forme fruste, 177850 (3); Arterial calcification, generalized, of infancy, 2, 614473 (3)"
ABCC8,11,17392885,17476845,N,.,N,Y,-2.343482783,1.088151878,3.94E-15,96.9,DM,"Hyperinsulinemic hypoglycemia, familial, 1, 256450 (3); Hypoglycemia of infancy, leucine-sensitive, 240800 (3); Diabetes mellitus, transient neonatal 2, 610374 (3); Diabetes mellitus, noninsulin-dependent, 125853 (3); Diabetes mellitus, permanent neonatal, 606176 (3)"
ABCC9,12,21797401,21941402,N,.,N,Y,-2.053756819,1.522255021,0.000700543,66,DM,"Cardiomyopathy, dilated, 1O, 608569 (3); Atrial fibrillation, familial, 12, 614050 (3); Hypertrichotic osteochondrodysplasia, 239850 (3)"
ABCD1,X,153724868,153744762,N,.,N,Y,0.043538553,52.85061064,0.982118838,11.4,DM,"Adrenoleukodystrophy, 300100 (3); Adrenomyeloneuropathy, adult, 300100 (3)"
ABCD2,12,39550033,39619751,N,.,N,Y,-0.6936757,14.15176246,2.97E-06,80.6,.,.
ABCD3,1,94418455,94518666,N,.,N,N,-0.664619572,14.89263182,0.999695623,4.7,DM,"?Bile acid synthesis defect, congenital, 5, 616278 (3)"
ABCD4,14,74285423,74303056,N,.,N,Y,0.367428116,74.23742548,1.40E-08,88.5,DM,"Methylmalonic aciduria and homocystinuria, cblJ type, 614857 (3)"
ABCE1,4,145097932,145129179,Y,.,Y,N,-0.256733821,32.08311628,0.999982597,2.8,.,.
ABCF1,6,30571376,30597179,N,.,N,N,-0.011549788,48.57324767,2.73E-06,80.7,.,.
ABCF2,7,151207837,151227230,N,.,N,N,-1.324134199,4.52624877,0.995417497,8.2,.,.
ABCF3,3,184186023,184194012,N,.,N,N,-0.294751724,29.72159518,0.004026166,59,.,.
ABCG1,21,42199689,42297244,N,.,N,Y,-1.286464315,4.792498698,0.358875895,33.9,DFP,.
ABCG2,4,88090264,88231322,N,Viable,N,Y,0.314906814,71.38392082,1.37E-18,98.3,DFP,"[Junior blood group system], 614490 (3); [Uric acid concentration, serum, QTL1], 138900 (3)"
ABCG4,11,119149012,119162653,N,.,N,Y,-0.790262178,11.74393703,0.000455417,67.3,.,.
ABCG5,2,43812472,43838865,N,.,N,Y,1.056929738,93.4537246,1.90E-15,97.2,DM,"Sitosterolemia, 210250 (3)"
ABCG8,2,43838964,43878466,N,.,N,Y,0.81793519,89.48312786,3.75E-16,97.5,DM,"Sitosterolemia, 210250 (3); Gallbladder disease 4, 611465 (3)"
ABHD1,2,27123789,27130812,N,.,N,N,-0.171177353,37.31550616,1.06E-21,99,.,.
ABHD10,3,111979010,111993363,N,.,N,N,0.352119595,73.52549632,0.000658971,66.2,.,.
ABHD11,7,73736094,73738867,N,.,N,N,-0.525887379,19.15841871,9.03E-06,78.3,.,.
ABHD12,20,25294743,25390983,N,.,N,Y,-0.031491274,47.21884586,1.98E-06,81.3,DM,"Polyneuropathy, hearing loss, ataxia, retinitis pigmentosa, and cataract, 612674 (3)"
ABHD12B,14,50872160,50904970,N,.,N,N,0.897139902,91.05747526,3.28E-13,95.7,.,.
ABHD13,13,108218379,108234255,N,.,N,N,0.152256873,61.16223881,0.637356652,26.4,.,.
ABHD14A,3,51971426,51981199,N,.,N,N,0.910235282,91.27742085,0.000234514,69.3,.,.
ABHD14A-ACY1,3,51975050,51989183,N,.,N,N,.,.,2.25E-05,75.9,.,.
ABHD14B,3,51968510,51983409,N,.,N,N,0.38485322,75.1519361,0.116162846,42.3,.,.
ABHD15,17,29560547,29567137,N,.,N,N,0.288418427,69.82114951,0.001790126,62.3,.,.
ABHD16A,6,31686949,31703444,N,.,N,N,-0.08305528,43.36400996,0.988882578,10.2,.,.
ABHD16B,20,63861213,63863306,N,.,N,N,.,.,0.033092969,49.2,.,.
ABHD17A,19,1876810,1885547,N,.,N,N,1.066045452,93.57527348,0.050556875,46.9,.,.
ABHD17B,9,71862452,71910931,N,.,N,N,-0.214586899,34.6414308,0.961448199,13.8,.,.
ABHD17C,15,80679684,80755621,N,.,N,N,-0.239967611,33.04971928,0.84082863,20.2,.,.
ABHD2,15,89087459,89202360,N,.,N,N,-0.449899067,22.28396134,0.84946372,19.9,.,.
ABHD3,18,21650897,21704805,N,.,N,N,0.118568504,58.65022863,1.34E-06,82.2,.,.
ABHD4,14,22598237,22613215,N,.,N,N,-0.501463696,20.08450541,7.51E-05,72.8,.,.
ABHD5,3,43690113,43734371,Y,.,Y,N,0.126071509,59.22903282,3.45E-05,74.9,DM,"Chanarin-Dorfman syndrome, 275630 (3)"
ABHD6,3,58237506,58295693,N,.,N,N,-0.420843869,23.49366209,0.002559916,61,.,.
ABHD8,19,17292131,17310236,N,Viable,N,Y,-0.568991981,17.68825606,0.642340813,26.3,.,.
ABI1,10,26746593,26861087,Y,.,Y,N,-0.473365526,21.30578225,0.632775183,26.6,.,.
ABI2,2,203328219,203447723,N,.,N,Y,-0.603790891,16.62325635,0.953329216,14.4,.,.
ABI3,17,49210227,49223225,N,.,N,N,0.520058292,81.25832031,0.027711007,50.1,.,.
ABI3BP,3,100749156,100993515,N,Subviable,Y,N,0.372213846,74.52103953,3.94E-07,84.1,DM?,.
ABL1,9,130713946,130887675,Y,.,Y,N,-1.351821412,4.294727094,0.999882701,3.9,.,"Leukemia, Philadelphia chromosome-positive, resistant to imatinib (3)"
ABL2,1,179099327,179229684,N,.,N,Y,-1.005669692,7.779128321,0.009702577,55.1,.,"Leukemia, acute myeloid, with eosinophilia (1)"
ABLIM1,10,114431113,114685003,N,.,N,Y,-0.091212522,42.72732535,0.951991965,14.6,.,.
ABLIM2,4,7965310,8158832,N,.,N,N,-0.010592986,48.64849222,0.762415767,22.8,.,.
ABLIM3,5,149141483,149260542,N,.,N,N,0.164846502,62.1404179,0.016025349,52.8,.,.
ABO,9,133250401,133275214,N,Viable,N,Y,.,.,.,.,DM,"[Blood group, ABO system], 616093 (3)"
ABR,17,1003518,1229021,N,.,N,Y,-1.354001973,4.271574926,0.999949479,3.3,.,.
ABRA,8,106759483,106770245,N,.,N,Y,-0.468580168,21.49678764,4.06E-06,79.9,.,.
ABRACL,6,139028682,139043302,N,.,N,N,-0.044887353,46.22330266,0.267692922,36.6,.,.
ABT1,6,26596952,26600744,N,.,N,N,-0.647852776,15.44828385,0.027105567,50.2,.,.
ABTB1,3,127672935,127680920,N,.,N,N,0.111216702,58.0945766,0.001298307,63.7,.,.
ABTB2,11,34150988,34358008,N,.,N,Y,-0.496381337,20.3449673,0.12465044,41.9,.,.
AC002310.13,16,30534227,30558279,N,.,N,N,.,.,.,.,.,.
AC002398.9,19,35745678,35754519,N,.,N,N,.,.,.,.,.,.
AC002985.3,19,18907013,18934397,N,.,N,N,.,.,.,.,.,.
AC003002.4,19,57363566,57398584,N,.,N,N,.,.,.,.,.,.
AC003002.6,19,57389884,57419994,N,.,N,N,.,.,.,.,.,.
AC003005.4,19,57487718,57505381,N,.,N,N,.,.,.,.,.,.
AC003006.7,19,57682045,57753575,N,.,N,N,.,.,.,.,.,.
AC004076.7,19,57394183,57438457,N,.,N,N,.,.,.,.,.,.
AC004076.9,19,57437970,57477536,N,.,N,N,.,.,0.005605695,57.6,.,.
AC004158.1,16,72496967,72497341,N,.,N,N,.,.,.,.,.,.
AC004381.6,16,20806429,20849668,N,.,N,N,.,.,9.23E-07,82.6,.,.
AC004754.3,16,249547,269943,N,.,N,N,.,.,.,.,.,.
AC004813.1,12,119918001,119918375,N,.,N,N,.,.,.,.,.,.
AC004824.2,1,17329012,17331796,N,.,N,N,.,.,.,.,.,.
AC004853.1,7,143959971,143960924,N,.,N,N,.,.,.,.,.,.
AC004953.1,7,101635218,101638685,N,.,N,N,.,.,.,.,.,.
AC005477.1,14,71965306,71966899,N,.,N,N,.,.,.,.,.,.
AC005480.1,14,74003369,74003777,N,.,N,N,.,.,.,.,.,.
AC005779.2,19,45179822,45202444,N,.,N,N,.,.,.,.,.,.
AC005943.2,19,1578339,1605445,N,.,N,N,.,.,.,.,.,.
AC006328.4,Y,25463994,25473714,N,.,N,N,.,.,.,.,.,.
AC006386.1,Y,25307702,25308107,N,.,N,N,.,.,.,.,.,.
AC006449.2,17,38727833,38728198,N,.,N,N,.,.,.,.,.,.
AC006486.9,19,42234583,42255132,N,.,N,N,.,.,.,.,.,.
AC006538.4,19,2717769,2740048,N,.,N,N,.,.,.,.,.,.
AC006547.14,22,20148427,20151065,N,.,N,N,.,.,.,.,.,.
AC006994.3,2,210232692,210233976,N,.,N,N,.,.,.,.,.,.
AC007040.11,2,70939318,70995336,N,.,N,N,.,.,0.000106767,71.7,.,.
AC007163.2,2,200682822,200683196,N,.,N,N,.,.,.,.,.,.
AC007192.4,19,18153158,18178117,N,.,N,N,.,.,.,.,.,.
AC007326.1,22,18945123,18946971,N,.,N,N,.,.,.,.,.,.
AC007557.5,2,216863059,216865281,N,.,N,N,.,.,.,.,.,.
AC007906.1,16,53207941,53226385,N,.,N,N,.,.,.,.,.,.
AC008074.1,2,64552771,64592133,N,.,N,N,.,.,.,.,.,.
AC008622.1,19,46792971,46793189,N,.,N,N,.,.,.,.,.,.
AC008641.1,5,151016918,151017411,N,.,N,N,.,.,.,.,.,.
AC008686.1,19,13780070,13790158,N,.,N,N,.,.,.,.,.,.
AC008759.1,19,9615561,9616905,N,.,N,N,.,.,.,.,.,.
AC008810.1,5,40801222,40801596,N,.,N,N,.,.,.,.,.,.
AC008914.1,5,55928640,55928741,N,.,N,N,.,.,.,.,.,.
AC009022.1,16,70052395,70052769,N,.,N,N,.,.,.,.,.,.
AC009060.2,16,70205400,70205780,N,.,N,N,.,.,.,.,.,.
AC009065.4,16,2253737,2262342,N,.,N,N,.,.,.,.,.,.
AC009133.22,16,29663279,29695144,N,.,N,N,.,.,.,.,.,.
AC009336.19,2,176151085,176173097,N,.,N,N,.,.,.,.,.,.
AC009491.1,Y,8710885,8745985,N,.,N,N,.,.,.,.,.,.
AC009491.2,Y,8695281,8743495,N,.,N,N,.,.,.,.,.,.
AC009758.1,11,4367351,4368295,N,.,N,N,.,.,.,.,.,.
AC009977.1,Y,19576009,19576182,N,.,N,N,.,.,.,.,.,.
AC010287.1,16,58554337,58554935,N,.,N,N,.,.,.,.,.,.
AC010547.9,16,71447600,71489311,N,.,N,N,.,.,.,.,.,.
AC010642.1,19,58278966,58315197,N,.,N,N,.,.,.,.,.,.
AC010646.3,19,17235940,17255448,N,.,N,N,.,.,.,.,.,.
AC010655.1,7,128441694,128442726,N,.,N,N,.,.,.,.,.,.
AC011155.1,18,52409042,52409257,N,.,N,N,.,.,.,.,.,.
AC011513.3,19,41708612,41761282,N,.,N,N,.,.,.,.,.,.
AC011530.4,19,45779437,45785973,N,.,N,N,.,.,.,.,.,.
AC012005.3,Y,24362031,24362436,N,.,N,N,.,.,.,.,.,.
AC012005.4,Y,24196425,24206144,N,.,N,N,.,.,.,.,.,.
AC013269.5,2,130539095,130549883,N,.,N,N,.,.,.,.,.,.
AC015688.3,17,27623364,27640777,N,.,N,N,.,.,.,.,.,.
AC016142.1,3,150819598,150819972,N,.,N,N,.,.,.,.,.,.
AC016577.1,5,156658587,156660435,N,.,N,N,.,.,.,.,.,.
AC017028.10,2,239161797,239162357,N,.,N,N,.,.,.,.,.,.
AC017081.1,2,206355739,206356119,N,.,N,N,.,.,.,.,.,.
AC018512.1,15,43782843,43783033,N,.,N,N,.,.,.,.,.,.
AC018755.18,19,51612091,51646889,N,.,N,N,.,.,.,.,.,.
AC019206.1,2,69902350,69902709,N,.,N,N,.,.,.,.,.,.
AC022210.1,2,84895085,84895221,N,.,N,N,.,.,.,.,.,.
AC024592.12,19,5866171,5903787,N,.,N,N,.,.,.,.,.,.
AC025263.3,12,69801669,69855363,N,.,N,N,.,.,.,.,.,.
AC026449.1,5,115855994,115858468,N,.,N,N,.,.,.,.,.,.
AC037459.4,8,22589274,22602084,N,.,N,N,.,.,.,.,.,.
AC055733.1,3,130868872,130869246,N,.,N,N,.,.,.,.,.,.
AC063956.1,4,70020979,70021229,N,.,N,N,.,.,.,.,.,.
AC064829.1,Y,8549671,8748740,N,.,N,N,.,.,.,.,.,.
AC068533.7,7,66087761,66152277,N,.,N,N,.,.,.,.,.,.
AC069063.1,3,115113420,115114210,N,.,N,N,.,.,.,.,.,.
AC069063.2,3,115120172,115121489,N,.,N,N,.,.,.,.,.,.
AC069368.3,15,64841883,64930920,N,.,N,N,.,.,.,.,.,.
AC073333.1,7,16789242,16789622,N,.,N,N,.,.,.,.,.,.
AC073610.5,12,48921963,48939663,N,.,N,N,.,.,.,.,.,.
AC073657.1,15,41781148,41784031,N,.,N,N,.,.,.,.,.,.
AC079355.1,7,63762476,63765094,N,.,N,N,.,.,.,.,.,.
AC084219.2,19,44025354,44087318,N,.,N,N,.,.,.,.,.,.
AC087762.1,15,100783470,100785235,N,.,N,N,.,.,.,.,.,.
AC090154.1,8,66674499,66675916,N,.,N,N,.,.,.,.,.,.
AC092159.1,2,687799,688348,N,.,N,N,.,.,.,.,.,.
AC092718.1,16,81170740,81181213,N,.,N,N,.,.,.,.,.,.
AC092835.2,2,95207535,95259774,N,.,N,N,.,.,.,.,.,.
AC092881.1,12,70321677,70324274,N,.,N,N,.,.,.,.,.,.
AC104057.1,7,65554258,65555459,N,.,N,N,.,.,.,.,.,.
AC104073.2,7,65140528,65141723,N,.,N,N,.,.,.,.,.,.
AC104389.1,11,5253367,5254782,N,.,N,N,.,.,.,.,.,.
AC104389.2,11,5248449,5249858,N,.,N,N,.,.,.,.,.,.
AC104532.2,19,5904841,5914707,N,.,N,N,.,.,.,.,.,.
AC104534.3,19,38817471,38840178,N,.,N,N,.,.,.,.,.,.
AC104981.1,17,77777090,77777464,N,.,N,N,.,.,.,.,.,.
AC108925.1,8,127630283,127630657,N,.,N,N,.,.,.,.,.,.
AC108938.5,2,110402934,110473075,N,.,N,N,.,.,.,.,.,.
AC109829.1,2,27537386,27567144,N,.,N,N,.,.,.,.,.,.
AC109829.2,2,27556908,27557282,N,.,N,N,.,.,.,.,.,.
AC110615.1,4,75949920,75957413,N,.,N,N,.,.,0.006694544,56.8,.,.
AC113404.1,5,76170093,76174331,N,.,N,N,.,.,.,.,.,.
AC118758.1,7,56804059,56804689,N,.,N,N,.,.,.,.,.,.
AC124312.1,15,25091960,25092377,N,.,N,N,.,.,.,.,.,.
AC129492.1,17,8188933,8189688,N,.,N,N,.,.,.,.,.,.
AC138969.4,16,16317444,16350590,N,.,N,N,.,.,.,.,.,.
AC231657.1,X,49155242,49157351,N,.,N,N,.,.,.,.,.,.
AC234582.1,1,155190050,155191339,N,.,N,N,.,.,.,.,.,.
AC234582.2,1,155188587,155189452,N,.,N,N,.,.,.,.,.,.
AC242988.1,1,150302770,150303291,N,.,N,N,.,.,.,.,.,.
AC243756.1,1,146344006,146344790,N,.,N,N,.,.,.,.,.,.
AC243945.1,14,22638099,22638473,N,.,N,N,.,.,.,.,.,.
AC253572.1,1,120723923,120793877,N,.,N,N,.,.,.,.,.,.
ACAA1,3,38103129,38137242,N,.,N,Y,0.036035566,52.3065347,2.64E-05,75.5,.,.
ACAA2,18,49782167,49813960,N,.,N,N,-0.222893607,34.16102333,0.003508042,59.7,.,.
ACACA,17,37084988,37406818,Y,.,Y,N,-2.548179154,0.949238872,1,0.4,DM,"Acetyl-CoA carboxylase deficiency, 613933 (1)"
ACACB,12,109116595,109268226,N,.,N,Y,-2.323579519,1.099727962,5.12E-22,99,DM?,.
ACAD10,12,111686056,111757107,N,.,N,N,0.221505549,65.70585171,4.01E-20,98.7,FP,.
ACAD11,3,132558138,132660723,N,.,N,N,0.112325491,58.15824507,1.68E-07,85.5,.,.
ACAD8,11,134253495,134265855,N,.,N,N,-0.387960287,25.05064537,1.17E-05,77.7,DM,"Isobutyryl-CoA dehydrogenase deficiency, 611283 (3)"
ACAD9,3,128879596,128916067,N,.,N,N,-0.366105665,26.08670487,2.07E-05,76.1,DM,"Mitochondrial complex I deficiency due to ACAD9 deficiency, 611126 (3)"
ACADL,2,210187939,210225491,Y,.,Y,N,0.118568504,58.65022863,3.59E-08,87.4,DM,.
ACADM,1,75724347,75787575,Y,.,Y,N,-0.160955729,37.95219077,8.44E-10,91.2,DM,"Acyl-CoA dehydrogenase, medium chain, deficiency of, 201450 (3)"
ACADS,12,120725735,120740008,N,.,N,N,-0.127116299,40.27319558,0.00016291,70.4,DM,"Acyl-CoA dehydrogenase, short-chain, deficiency of, 201470 (3)"
ACADSB,10,123008979,123058311,N,.,N,N,0.157996972,61.60213,2.99E-08,87.6,DM,"2-methylbutyrylglycinuria, 610006 (3)"
ACADVL,17,7217125,7225273,N,.,N,Y,-0.837047289,10.84100249,1.31E-07,85.8,DM,"VLCAD deficiency, 201475 (3)"
ACAN,15,88803443,88875354,Y,.,Y,N,2.226846545,98.88869595,0.999993945,2.3,DM,"Spondyloepiphyseal dysplasia, Kimberley type, 608361 (3); Spondyloepimetaphyseal dysplasia, aggrecan type, 612813 (3); Osteochondritis dissecans, short stature, and early-onset osteoarthritis, 165800 (3)"
ACAP1,17,7336529,7351478,N,Viable,N,Y,0.074658654,55.24685999,0.237755775,37.5,.,.
ACAP2,3,195274736,195443078,N,.,N,N,-0.628060421,15.93447937,0.999918185,3.6,.,.
ACAP3,1,1292376,1309609,N,.,N,Y,-0.752745356,12.53111073,0.03943093,48.4,.,.
ACAT1,11,108121516,108147776,N,.,N,N,-0.616882625,16.28176188,0.001599516,62.8,DM,"Alpha-methylacetoacetic aciduria, 203750 (3)"
ACAT2,6,159760328,159779055,N,Lethal,Y,N,-0.305426803,29.16015512,1.26E-05,77.5,DP,"?ACAT2 deficiency, 614055 (1)"
ACBD3,1,226144679,226186730,N,Lethal,Y,N,0.307101058,70.88036117,0.98182333,11.5,.,.
ACBD4,17,45132600,45144181,N,.,N,N,0.665489359,86.0913353,1.83E-05,76.5,.,.
ACBD5,10,27195214,27242130,N,.,N,N,0.05486868,53.70724084,0.06164569,45.8,DM,.
ACBD6,1,180269653,180502954,N,.,N,N,-0.476237287,21.18423337,0.064959259,45.5,DM,.
ACBD7,10,15077523,15088776,N,.,N,N,0.290033479,69.90218209,0.086336608,44,.,.
ACCS,11,44065925,44084222,N,.,N,N,0.603699992,84.26231406,0.000171666,70.3,DP,.
ACCSL,11,44047981,44059977,N,.,N,N,-0.136381432,39.66545118,2.58E-11,93.7,.,.
ACD,16,67657512,67660815,Y,.,Y,N,-0.398987743,24.49499334,5.78E-07,83.5,.,"?Dyskeratosis congenita, autosomal dominant 6, 616553 (3); ?Dyskeratosis congenita, autosomal recessive 7, 616553 (3)"
ACE,17,63477061,63498380,Y,.,Y,N,0.899247509,91.08062742,4.63E-18,98.2,DM,"{Myocardial infarction, susceptibility to} (3); {Alzheimer disease, susceptibility to}, 104300 (3); {Microvascular complications of diabetes 3}, 612624 (3); [Angiotensin I-converting enzyme, benign serum increase] (3); {SARS, progression of} (3); Renal tubular dysgenesis, 267430 (3); {Stroke, hemorrhagic}, 614519 (3)"
