Gene/product,Gene/product name,GO class (direct),PANTHER family,Reference
Jmy,junction-mediating and regulatory protein,transcription coactivator activity,p300 transcriptional cofactor jmy-related pthr23330,PMID:21873635
Rfpl4b,MCG1377,transcription corepressor activity,"bonus, isoform c-related pthr25462",PMID:21873635
Tob2,"transducer of ERBB2, 2",transcription corepressor activity,transducer of erbb2  tob pthr17537,PMID:21873635
Atxn7l3,ataxin 7-like 3,transcription coactivator activity,ataxin-7-like protein 3 pthr46367,MGI:MGI:4834177|GO_REF:0000096
Atxn7l3,ataxin 7-like 3,nuclear receptor coactivator activity,ataxin-7-like protein 3 pthr46367,MGI:MGI:4834177|GO_REF:0000096
Atxn7l3,ataxin 7-like 3,transcription coactivator activity,ataxin-7-like protein 3 pthr46367,PMID:21873635
Hcfc1,host cell factor C1,transcription coactivator activity,host cell factor pthr46003,MGI:MGI:1098059|PMID:9334261
Hcfc1,host cell factor C1,transcription coactivator activity,host cell factor pthr46003,MGI:MGI:4834177|GO_REF:0000096
Hcfc1,host cell factor C1,transcription coactivator activity,host cell factor pthr46003,PMID:21873635
Smyd1,SET and MYND domain containing 1,transcription corepressor activity,histone-lysine n-methyltransferase smyd pthr12197,MGI:MGI:2178868|PMID:11923873
Cited4,"Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 4",transcription coactivator activity,melanocyte specific gene related  cited pthr17045,MGI:MGI:2447223|PMID:12504852
Cited4,"Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 4",transcription coactivator activity,melanocyte specific gene related  cited pthr17045,MGI:MGI:2447223|PMID:12504852
Cited4,"Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 4",transcription coactivator activity,melanocyte specific gene related  cited pthr17045,MGI:MGI:4412463|PMID:11581164
Cited4,"Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 4",transcription coactivator activity,melanocyte specific gene related  cited pthr17045,PMID:21873635
Eny2,ENY2 transcription and export complex 2 subunit,transcription coactivator activity,enhancer of yellow 2 transcription factor pthr12514,MGI:MGI:4834177|GO_REF:0000096
Eny2,ENY2 transcription and export complex 2 subunit,nuclear receptor coactivator activity,enhancer of yellow 2 transcription factor pthr12514,MGI:MGI:4834177|GO_REF:0000096
Eny2,ENY2 transcription and export complex 2 subunit,transcription coactivator activity,enhancer of yellow 2 transcription factor pthr12514,PMID:21873635
Arrb1,"arrestin, beta 1",transcription coactivator activity,arrestin pthr11792,MGI:MGI:4834177|GO_REF:0000096
Ddx54,DEAD box helicase 54,transcription corepressor activity,rna helicase pthr24031,MGI:MGI:4834177|GO_REF:0000096
Nfe2l1,"nuclear factor, erythroid derived 2,-like 1",transcription coactivator activity,nuclear factor erythroid 2-related factor pthr24411,MGI:MGI:5464962|PMID:23144760
Vgll2,vestigial like family member 2,transcription coactivator activity,transcription cofactor vestigial-like protein pthr15950,MGI:MGI:2445678|PMID:12376544
Vgll2,vestigial like family member 2,transcription coactivator activity,transcription cofactor vestigial-like protein pthr15950,MGI:MGI:3027696|PMID:14762206
Pprc1,"peroxisome proliferative activated receptor, gamma, coactivator-related 1",transcription coregulator activity,peroxisome proliferator activated receptor gamma coactivator 1  pgc-1 -related pthr15528,MGI:MGI:2152098|GO_REF:0000002
Pprc1,"peroxisome proliferative activated receptor, gamma, coactivator-related 1",nuclear receptor coactivator activity,peroxisome proliferator activated receptor gamma coactivator 1  pgc-1 -related pthr15528,PMID:21873635
Zfpm1,"zinc finger protein, multitype 1",transcription corepressor activity,friend of gata2-related pthr12958,MGI:MGI:4834177|GO_REF:0000096
Zfpm1,"zinc finger protein, multitype 1",transcription corepressor activity,friend of gata2-related pthr12958,MGI:MGI:2673774|PMID:12923059
Trim31,tripartite motif-containing 31,transcription coactivator activity,e3 ubiquitin-protein ligase trim pthr24103,MGI:MGI:4834177|GO_REF:0000096
Sra1,steroid receptor RNA activator 1,transcription coregulator activity,steroid receptor rna activator 1 pthr18834,MGI:MGI:1333984|PMID:10199399
Sra1,steroid receptor RNA activator 1,transcription coactivator activity,steroid receptor rna activator 1 pthr18834,MGI:MGI:4834177|GO_REF:0000096
Sra1,steroid receptor RNA activator 1,transcription coactivator activity,steroid receptor rna activator 1 pthr18834,MGI:MGI:4417868|GO_REF:0000096
Sra1,steroid receptor RNA activator 1,nuclear receptor coactivator activity,steroid receptor rna activator 1 pthr18834,MGI:MGI:3053242|PMID:15327771
Sra1,steroid receptor RNA activator 1,nuclear receptor coactivator activity,steroid receptor rna activator 1 pthr18834,MGI:MGI:3050934|PMID:15180993
Sra1,steroid receptor RNA activator 1,nuclear receptor coactivator activity,steroid receptor rna activator 1 pthr18834,MGI:MGI:4417868|GO_REF:0000096
Sra1,steroid receptor RNA activator 1,nuclear receptor coactivator activity,steroid receptor rna activator 1 pthr18834,PMID:21873635
Prkn,parkin RBR E3 ubiquitin protein ligase,transcription corepressor activity,rbr family  ring finger and ibr domain-containing pthr11685,MGI:MGI:4834177|GO_REF:0000096
Myocd,myocardin,transcription coactivator activity,myocardin-related transcription factor-related pthr22793,MGI:MGI:2154458|GO_REF:0000008
Myocd,myocardin,transcription coactivator activity,myocardin-related transcription factor-related pthr22793,MGI:MGI:2136697|PMID:11439182
Myocd,myocardin,transcription coactivator activity,myocardin-related transcription factor-related pthr22793,MGI:MGI:4354665|PMID:19578358
Myocd,myocardin,transcription coactivator activity,myocardin-related transcription factor-related pthr22793,PMID:21873635
Zmiz1,"zinc finger, MIZ-type containing 1",transcription coactivator activity,zinc finger miz domain-containing protein pthr10782,MGI:MGI:4834177|GO_REF:0000096
Zmiz1,"zinc finger, MIZ-type containing 1",nuclear receptor coactivator activity,zinc finger miz domain-containing protein pthr10782,PMID:21873635
Mms19,MMS19 cytosolic iron-sulfur assembly component,transcription coactivator activity,dna repair/transcription protein met18/mms19 pthr12891,MGI:MGI:4834177|GO_REF:0000096
Smarca2,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2",transcription coactivator activity,snf2/rad54 helicase family pthr10799,MGI:MGI:4834177|GO_REF:0000096
Arid5b,AT rich interactive domain 5B (MRF1-like),transcription coactivator activity,rbp-related pthr13964,MGI:MGI:4834177|GO_REF:0000096
Prpf6,pre-mRNA splicing factor 6,transcription coactivator activity,pre-mrna splicing factor pthr11246,MGI:MGI:3614729|PMID:16414017
Supt20,SPT20 SAGA complex component,transcription coregulator activity,transcription factor spt20 homolog pthr13526,PMID:21873635
Med20,mediator complex subunit 20,transcription coregulator activity,ubiquitin specific protease homolog 49 pthr12465,MGI:MGI:2152098|GO_REF:0000002
Med20,mediator complex subunit 20,transcription coactivator activity,ubiquitin specific protease homolog 49 pthr12465,PMID:21873635
Trerf1,transcriptional regulating factor 1,transcription coactivator activity,rest corepressor  corest  protein-related pthr16089,MGI:MGI:4834177|GO_REF:0000096
Trerf1,transcriptional regulating factor 1,nuclear receptor coactivator activity,rest corepressor  corest  protein-related pthr16089,MGI:MGI:4834177|GO_REF:0000096
Trerf1,transcriptional regulating factor 1,transcription corepressor activity,rest corepressor  corest  protein-related pthr16089,PMID:21873635
Med12l,mediator complex subunit 12-like,transcription coregulator activity,mediator of rna polymerase ii transcription subunit 12 pthr46007,MGI:MGI:2152098|GO_REF:0000002
Med12l,mediator complex subunit 12-like,transcription coactivator activity,mediator of rna polymerase ii transcription subunit 12 pthr46007,PMID:21873635
Cbfa2t2,CBFA2/RUNX1 translocation partner 2,transcription corepressor activity,mtg8 eto  eight twenty one protein pthr10379,MGI:MGI:3607021|PMID:16227606
Cbfa2t2,CBFA2/RUNX1 translocation partner 2,transcription corepressor activity,mtg8 eto  eight twenty one protein pthr10379,MGI:MGI:4834177|GO_REF:0000096
Cbfa2t2,CBFA2/RUNX1 translocation partner 2,transcription corepressor activity,mtg8 eto  eight twenty one protein pthr10379,PMID:21873635
Eid2b,EP300 interacting inhibitor of differentiation 2B,transcription corepressor activity,ep300-interacting inhibitor of differentiation 2-related pthr15556,PMID:21873635
Cbfb,core binding factor beta,transcription coactivator activity,"core-binding factor, beta subunit pthr10276",PMID:21873635
Tsg101,tumor susceptibility gene 101,transcription corepressor activity,tumor susceptibility gene 101 protein-related pthr23306,MGI:MGI:2448855|PMID:10888872
Tsg101,tumor susceptibility gene 101,nuclear receptor coactivator activity,tumor susceptibility gene 101 protein-related pthr23306,MGI:MGI:4417868|GO_REF:0000096
Tada2a,transcriptional adaptor 2A,transcription coactivator activity,transcriptional adaptor 2  ada2 -related pthr12374,PMID:21873635
Kmt2d,lysine (K)-specific methyltransferase 2D,transcription coactivator activity,family not named pthr45888,PMID:21873635
Trim5,tripartite motif-containing 5,transcription coactivator activity,e3 ubiquitin-protein ligase trim pthr24103,MGI:MGI:4834177|GO_REF:0000096
Pa2g4,proliferation-associated 2G4,transcription corepressor activity,"protease family m24  methionyl aminopeptidase, aminopeptidase p pthr10804",MGI:MGI:3045831|PMID:15073182
Ldb2,LIM domain binding 2,transcription coregulator activity,lim domain-binding protein pthr10378,MGI:MGI:2152098|GO_REF:0000002
Mta1,metastasis associated 1,transcription coactivator activity,metastasis-associated protein and mesoderm induction early response protein pthr10865,MGI:MGI:4834177|GO_REF:0000096
Mta1,metastasis associated 1,transcription coactivator activity,metastasis-associated protein and mesoderm induction early response protein pthr10865,MGI:MGI:5582861|PMID:24089055
Mta1,metastasis associated 1,transcription coactivator activity,metastasis-associated protein and mesoderm induction early response protein pthr10865,MGI:MGI:5582155|PMID:21965678
Mta1,metastasis associated 1,transcription corepressor activity,metastasis-associated protein and mesoderm induction early response protein pthr10865,MGI:MGI:4834177|GO_REF:0000096
Mta1,metastasis associated 1,transcription corepressor activity,metastasis-associated protein and mesoderm induction early response protein pthr10865,PMID:21873635
Mta1,metastasis associated 1,transcription coactivator activity,metastasis-associated protein and mesoderm induction early response protein pthr10865,PMID:21873635
Smarcb1,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1",transcription coactivator activity,snf5 pthr10019,MGI:MGI:4834177|GO_REF:0000096
Smarcb1,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1",transcription coactivator activity,snf5 pthr10019,PMID:21873635
Smarcb1,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1",transcription coregulator activity,snf5 pthr10019,PMID:21873635
Arid3a,AT rich interactive domain 3A (BRIGHT-like),transcription coregulator activity,at-rich interactive domain-containing protein  arid domain- containing protein   dead ringer protein   b-cell regulator of igh transcription   bright pthr15348,MGI:MGI:3525407|PMID:15456761
Arid3a,AT rich interactive domain 3A (BRIGHT-like),transcription coregulator activity,at-rich interactive domain-containing protein  arid domain- containing protein   dead ringer protein   b-cell regulator of igh transcription   bright pthr15348,MGI:MGI:5295129|PMID:21955986
Yap1,yes-associated protein 1,transcription coactivator activity,yes-associated protein yap1 family member pthr17616,MGI:MGI:3700430|PMID:16332960
Yap1,yes-associated protein 1,transcription coactivator activity,yes-associated protein yap1 family member pthr17616,MGI:MGI:4834177|GO_REF:0000096
Yap1,yes-associated protein 1,transcription coactivator activity,yes-associated protein yap1 family member pthr17616,MGI:MGI:6116315|PMID:26902285
Yap1,yes-associated protein 1,transcription coactivator activity,yes-associated protein yap1 family member pthr17616,MGI:MGI:6116315|PMID:26902285
Yap1,yes-associated protein 1,transcription corepressor activity,yes-associated protein yap1 family member pthr17616,MGI:MGI:4834177|GO_REF:0000096
Yap1,yes-associated protein 1,transcription corepressor activity,yes-associated protein yap1 family member pthr17616,PMID:21873635
Yap1,yes-associated protein 1,transcription coactivator activity,yes-associated protein yap1 family member pthr17616,PMID:21873635
Strm,striamin,transcription corepressor activity,,MGI:MGI:2152098|GO_REF:0000002
Sfmbt2,Scm-like with four mbt domains 2,transcription corepressor activity,polycomb group protein pthr12247,MGI:MGI:4834177|GO_REF:0000096
Prkcb,"protein kinase C, beta",nuclear receptor coactivator activity,serine/threonine-protein kinase pthr24356,MGI:MGI:1202493|PMID:9524124
Utf1,undifferentiated embryonic cell transcription factor 1,transcription coactivator activity,,MGI:MGI:4834177|GO_REF:0000096
Utf1,undifferentiated embryonic cell transcription factor 1,transcription coactivator activity,,MGI:MGI:4834177|GO_REF:0000096
Taf5l,TATA-box binding protein associated factor 5 like,transcription coactivator activity,transcription initiation factor tfiid pthr19879,MGI:MGI:4834177|GO_REF:0000096
Cnot7,"CCR4-NOT transcription complex, subunit 7",transcription corepressor activity,ccr4-not transcription complex subunit pthr10797,MGI:MGI:5545994|PMID:19506020
N4bp2l2,NEDD4 binding protein 2-like 2,transcription corepressor activity,uncharacterized pthr13308,PMID:21873635
N4bp2l2,NEDD4 binding protein 2-like 2,transcription corepressor activity,uncharacterized pthr13308,MGI:MGI:2684511|PMID:14576337
Cmtm2a,CKLF-like MARVEL transmembrane domain containing 2A,transcription corepressor activity,marvel-containing potential lipid raft-associated protein pthr22776,MGI:MGI:1267129|PMID:9628876
Nsd1,nuclear receptor-binding SET-domain protein 1,transcription coregulator activity,set domain proteins pthr22884,MGI:MGI:4834177|GO_REF:0000096
Nsd1,nuclear receptor-binding SET-domain protein 1,transcription coregulator activity,set domain proteins pthr22884,MGI:MGI:1267129|PMID:9628876
Nsd1,nuclear receptor-binding SET-domain protein 1,transcription corepressor activity,set domain proteins pthr22884,MGI:MGI:4419083|PMID:14701728
Basp1,"brain abundant, membrane attached signal protein 1",transcription corepressor activity,brain acid soluble protein 1 pthr23212,MGI:MGI:4834177|GO_REF:0000096
Basp1,"brain abundant, membrane attached signal protein 1",transcription corepressor activity,brain acid soluble protein 1 pthr23212,PMID:21873635
Basp1,"brain abundant, membrane attached signal protein 1",transcription corepressor activity,brain acid soluble protein 1 pthr23212,MGI:MGI:4834177|GO_REF:0000096
Pex14,peroxisomal biogenesis factor 14,transcription corepressor activity,peroxisomal membrane protein pex14 pthr23058,PMID:21873635
Tada2b,transcriptional adaptor 2B,transcription coactivator activity,transcriptional adaptor 2  ada2 -related pthr12374,MGI:MGI:3511603|PMID:15509787
Fhl2,four and a half LIM domains 2,transcription corepressor activity,four and a half lim domains protein pthr24205,PMID:21873635
Fhl2,four and a half LIM domains 2,transcription coregulator activity,four and a half lim domains protein pthr24205,PMID:21873635
Bclaf1,BCL2-associated transcription factor 1,transcription coregulator activity,thrap3/bclaf1 pthr15268,MGI:MGI:5700293|PMID:21454521
Gon4l,gon-4-like (C.elegans),transcription corepressor activity,yy1 associated protein-related pthr16088,PMID:21873635
Gon4l,gon-4-like (C.elegans),transcription coregulator activity,yy1 associated protein-related pthr16088,MGI:MGI:3846030|PMID:18172164
Usp21,ubiquitin specific peptidase 21,transcription coactivator activity,ubiquitin carboxyl-terminal hydrolase pthr21646,PMID:21873635
Fus,fused in sarcoma,transcription coregulator activity,rna binding protein pthr23238,MGI:MGI:4441141|PMID:11390640
Phf12,PHD finger protein 12,transcription corepressor activity,phd finger protein 12 pthr46309,PMID:21873635
Phf12,PHD finger protein 12,transcription coregulator activity,phd finger protein 12 pthr46309,MGI:MGI:4834177|GO_REF:0000096
Rap2c,"RAP2C, member of RAS oncogene family",transcription coactivator activity,"ras, di-ras, and rheb family members of small gtpase superfamily pthr24070",PMID:21873635
Phf10,PHD finger protein 10,transcription coregulator activity,histone acetyltransferase pthr10615,MGI:MGI:2152098|GO_REF:0000002
Tfdp2,transcription factor Dp 2,transcription coregulator activity,transcription factor dp pthr12548,MGI:MGI:79975|PMID:7889570
Sin3b,"transcriptional regulator, SIN3B (yeast)",transcription corepressor activity,sin3b-related pthr12346,PMID:21873635
Sin3b,"transcriptional regulator, SIN3B (yeast)",transcription corepressor activity,sin3b-related pthr12346,MGI:MGI:4834177|GO_REF:0000096
Sin3a,"transcriptional regulator, SIN3A (yeast)",transcription coactivator activity,sin3b-related pthr12346,MGI:MGI:79975|PMID:7889570
Sin3a,"transcriptional regulator, SIN3A (yeast)",transcription corepressor activity,sin3b-related pthr12346,MGI:MGI:3582110|PMID:15998811
Sin3a,"transcriptional regulator, SIN3A (yeast)",transcription corepressor activity,sin3b-related pthr12346,MGI:MGI:1354825|PMID:10734093
Sin3a,"transcriptional regulator, SIN3A (yeast)",transcription corepressor activity,sin3b-related pthr12346,MGI:MGI:1354825|PMID:10734093
Sin3a,"transcriptional regulator, SIN3A (yeast)",transcription corepressor activity,sin3b-related pthr12346,MGI:MGI:4834177|GO_REF:0000096
Sin3a,"transcriptional regulator, SIN3A (yeast)",transcription corepressor activity,sin3b-related pthr12346,PMID:21873635
Sin3a,"transcriptional regulator, SIN3A (yeast)",transcription corepressor activity,sin3b-related pthr12346,MGI:MGI:4834177|GO_REF:0000096
Helz2,"helicase with zinc finger 2, transcriptional coactivator",nuclear receptor coactivator activity,dna2/nam7 helicase family pthr10887,MGI:MGI:4834177|GO_REF:0000096
Mrtfb,myocardin related transcription factor B,transcription coactivator activity,myocardin-related transcription factor-related pthr22793,MGI:MGI:2663933|PMID:12397177
Mrtfb,myocardin related transcription factor B,transcription coactivator activity,myocardin-related transcription factor-related pthr22793,PMID:21873635
Mrtfb,myocardin related transcription factor B,transcription coactivator activity,myocardin-related transcription factor-related pthr22793,MGI:MGI:4834177|GO_REF:0000096
Kdm5b,lysine (K)-specific demethylase 5B,transcription corepressor activity,lysine-specific demethylase pthr10694,MGI:MGI:4834177|GO_REF:0000096
Supt7l,"SPT7-like, STAGA complex gamma subunit",transcription coactivator activity,staga complex 65 subunit gamma pthr28598,PMID:21873635
Supt7l,"SPT7-like, STAGA complex gamma subunit",transcription coactivator activity,staga complex 65 subunit gamma pthr28598,PMID:21873635
Parp14,"poly (ADP-ribose) polymerase family, member 14",transcription corepressor activity,parp/zinc finger ccch type domain containing protein pthr14453,MGI:MGI:3584056|PMID:15990875
Hdac5,histone deacetylase 5,transcription corepressor activity,histone deacetylase pthr45634,MGI:MGI:1889866|PMID:10640276
Hdac5,histone deacetylase 5,transcription corepressor activity,histone deacetylase pthr45634,MGI:MGI:3840011|PMID:19323994
Ssbp3,single-stranded DNA binding protein 3,transcription coactivator activity,single stranded dna binding protein pthr12610,MGI:MGI:4834177|GO_REF:0000096
Mecp2,methyl CpG binding protein 2,transcription corepressor activity,methyl-cpg-binding protein pthr15074,MGI:MGI:5811980|PMID:25722434
Mecp2,methyl CpG binding protein 2,transcription corepressor activity,methyl-cpg-binding protein pthr15074,MGI:MGI:4834177|GO_REF:0000096
Rrp1b,ribosomal RNA processing 1B,transcription coactivator activity,nnp-1 protein  novel nuclear protein 1   nop52 pthr13026,PMID:21873635
Nab1,Ngfi-A binding protein 1,transcription coregulator activity,ngfi-a binding protein pthr12623,PMID:21873635
Nab2,Ngfi-A binding protein 2,transcription coregulator activity,ngfi-a binding protein pthr12623,MGI:MGI:4834177|GO_REF:0000096
Cir1,"corepressor interacting with RBPJ, 1",transcription corepressor activity,cbf1 interacting corepressor cir pthr13151,PMID:21873635
Cir1,"corepressor interacting with RBPJ, 1",transcription corepressor activity,cbf1 interacting corepressor cir pthr13151,MGI:MGI:2152098|GO_REF:0000002
Ldb1,LIM domain binding 1,transcription coregulator activity,lim domain-binding protein pthr10378,MGI:MGI:4834177|GO_REF:0000096
Hdgf,heparin binding growth factor,transcription corepressor activity,hepatoma-derived growth factor-related pthr12550,PMID:21873635
Hdgf,heparin binding growth factor,transcription coregulator activity,hepatoma-derived growth factor-related pthr12550,PMID:21873635
Hdgfl1,HDGF-like 1,transcription coregulator activity,hepatoma-derived growth factor-related pthr12550,MGI:MGI:1858286|PMID:10788465
Ncoa6,nuclear receptor coactivator 6,transcription coactivator activity,nuclear receptor coactivator 6 pthr15690,PMID:21873635
Ncoa6,nuclear receptor coactivator 6,nuclear receptor coactivator activity,nuclear receptor coactivator 6 pthr15690,PMID:21873635
Mier3,MIER family member 3,transcription corepressor activity,metastasis-associated protein and mesoderm induction early response protein pthr10865,MGI:MGI:3806432|PMID:18719582
Prdm16,PR domain containing 16,transcription coactivator activity,zinc finger protein pthr24393,MGI:MGI:3770355|PMID:17618855
Prdm16,PR domain containing 16,transcription coactivator activity,zinc finger protein pthr24393,PMID:21873635
Prdm16,PR domain containing 16,transcription coregulator activity,zinc finger protein pthr24393,MGI:MGI:3820325|PMID:19056892
Ctnnb1,"catenin (cadherin associated protein), beta 1",transcription coactivator activity,armadillo segment polarity protein pthr45976,MGI:MGI:2386811|PMID:12235125
Ctnnb1,"catenin (cadherin associated protein), beta 1",transcription coactivator activity,armadillo segment polarity protein pthr45976,MGI:MGI:2446944|PMID:12464179
Ctnnb1,"catenin (cadherin associated protein), beta 1",transcription coactivator activity,armadillo segment polarity protein pthr45976,MGI:MGI:2386811|PMID:12235125
Ctnnb1,"catenin (cadherin associated protein), beta 1",transcription coactivator activity,armadillo segment polarity protein pthr45976,MGI:MGI:4834177|GO_REF:0000096
Ctnnb1,"catenin (cadherin associated protein), beta 1",transcription coactivator activity,armadillo segment polarity protein pthr45976,MGI:MGI:3690195|PMID:16678101
Ctnnb1,"catenin (cadherin associated protein), beta 1",transcription coactivator activity,armadillo segment polarity protein pthr45976,MGI:MGI:5699500|PMID:26371318
Ctnnb1,"catenin (cadherin associated protein), beta 1",transcription coactivator activity,armadillo segment polarity protein pthr45976,MGI:MGI:2675528|PMID:12949260
Ctnnb1,"catenin (cadherin associated protein), beta 1",transcription coactivator activity,armadillo segment polarity protein pthr45976,PMID:21873635
Ctnnb1,"catenin (cadherin associated protein), beta 1",transcription coactivator activity,armadillo segment polarity protein pthr45976,MGI:MGI:3037537|PMID:15019995
Maml1,mastermind like transcriptional coactivator 1,transcription coactivator activity,mastermind-like pthr15692,MGI:MGI:2388550|PMID:12370315
Maml1,mastermind like transcriptional coactivator 1,transcription coactivator activity,mastermind-like pthr15692,MGI:MGI:4834177|GO_REF:0000096
Maml1,mastermind like transcriptional coactivator 1,transcription coactivator activity,mastermind-like pthr15692,PMID:21873635
Maml1,mastermind like transcriptional coactivator 1,transcription coactivator activity,mastermind-like pthr15692,MGI:MGI:86048|PMID:8999959
Tcf4,transcription factor 4,transcription corepressor activity,basic helix-loop-helix transcription factor pthr11793,MGI:MGI:2159043|PMID:11823447
Cited2,"Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 2",transcription coregulator activity,melanocyte specific gene related  cited pthr17045,MGI:MGI:1328647|PMID:9887100
Cited2,"Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 2",transcription coactivator activity,melanocyte specific gene related  cited pthr17045,MGI:MGI:3690196|PMID:16619037
Cited2,"Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 2",transcription coactivator activity,melanocyte specific gene related  cited pthr17045,MGI:MGI:4834177|GO_REF:0000096
Cited2,"Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 2",transcription coactivator activity,melanocyte specific gene related  cited pthr17045,MGI:MGI:5009206|PMID:10593900
Cited2,"Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 2",transcription coactivator activity,melanocyte specific gene related  cited pthr17045,MGI:MGI:3790398|PMID:17537799
Cited2,"Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 2",transcription coactivator activity,melanocyte specific gene related  cited pthr17045,MGI:MGI:2179743|PMID:11694877
Cited2,"Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 2",transcription coactivator activity,melanocyte specific gene related  cited pthr17045,MGI:MGI:4834177|GO_REF:0000096
Cited2,"Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 2",transcription coactivator activity,melanocyte specific gene related  cited pthr17045,MGI:MGI:3813432|PMID:17932483
Cited2,"Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 2",transcription coactivator activity,melanocyte specific gene related  cited pthr17045,MGI:MGI:4834177|GO_REF:0000096
Cited2,"Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 2",transcription corepressor activity,melanocyte specific gene related  cited pthr17045,PMID:21873635
Cited2,"Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 2",transcription coactivator activity,melanocyte specific gene related  cited pthr17045,MGI:MGI:4834177|GO_REF:0000096
Trrap,transformation/transcription domain-associated protein,transcription coregulator activity,ataxia telangiectasia mutated  atm -related pthr11139,MGI:MGI:2446944|PMID:12464179
Trrap,transformation/transcription domain-associated protein,transcription coactivator activity,ataxia telangiectasia mutated  atm -related pthr11139,PMID:21873635
Trrap,transformation/transcription domain-associated protein,transcription coregulator activity,ataxia telangiectasia mutated  atm -related pthr11139,MGI:MGI:3056014|PMID:15464984
Ddx5,DEAD box helicase 5,transcription coregulator activity,atp-dependent rna helicase dbp3 pthr47958,MGI:MGI:4834177|GO_REF:0000096
Zfp653,zinc finger protein 653,transcription corepressor activity,zinc finger protein pthr46179,MGI:MGI:2679396|PMID:12920234
